snt_id	term	difficulty	definition
G14.2_2884788726_2	content caching	1.0	Content caching is a performance optimization mechanism in which data is delivered from the closest servers for optimal application performance.
G17.2_2893955699_1	logic qubit	1.0	A logical qubit is a physical or abstract qubit that performs as specified in a quantum algorithm or quantum circuit subject to unitary transformations, has a long enough coherence time to be usable by quantum logic gates
G17.4_2974627365_1	quantum cryptanalysis	2.0	Quantum cryptanalysis is the study and evaluation of cryptographic algorithms in the presence of a quantum enabled adversary.
T19.2_2172121104_3	probabilistic model	1.0	Probabilistic modeling is a statistical technique used to take into account the impact of random events or actions in predicting the potential occurrence of future outcomes.
T15.1_2887855654_7	Ethereum	1.0	Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether is the native cryptocurrency of the platform.
G07.2_1917985537_2	intrinsic	1.0	Intrinsic is defined by belonging to a thing by its very nature
T15.1_2952002252_3	resilience	1.0	resilience testing is a method of software testing that focuses on ensuring that applications will perform well in real-life or chaotic conditions.
T15.1_2952002252_1	Penetration tests	1.0	Penetration testing is a specialized form of security control assessment in which the security assessor assumes the role of an attacker and attempts to overcome the security measures in place intended to safeguard the information system
G07.2_1887815499_7	general framework	1.0	a framework is a real or conceptual structure intended to serve as a support or guide for the building of something that expands the structure into something useful.
T13.3_2134225881_2	Artificial Immune Recognition System	2.0	Artificial Immune Recognition System is a widely used bio-inspired algorithm that describes the recognition tasks of antigen by memory cells.
T13.3_2885975229_3	fuzzy rule	1.0	Fuzzy rules are used within fuzzy logic systems to infer an output based on input variables
T19.1_2041007121_2	topology hiding policies	1.0	Topology Hiding involves hiding topology-related information in messages sent from a Protected Network to an Untrusted Network, as well as restoring the topology-related information in messages from an Untrusted Network.
G17.4_2298554870_1	mutltiqubit	1.0	A multi-qubit system is a collection of multiple qubits, treated as a single system.
G14.2_2611788902_1	Quality-to-Experience	1.0	Quality-to-Experience is the overall acceptability of an application or service, as perceived subjectively by the end-user.
T16.3_2230023062_1	domain name system	1.0	The domain name system (DNS) is a naming database in which internet domain names are located and translated into Internet Protocol (IP) addresses.
G17.2_2040411766_6	qubit qutrit	2.0	A qutrit (or quantum trit) is a unit of quantum information that is realized by a 3-level quantum system, that may be in a superposition of three mutually orthogonal quantum states
G17.2_2099103563_1	quantum teleportation	1.0	a quantum information protocol by which the unknown quantum state of one particle can be transferred to another distant particle, using a pair of entangled particles, a projective measurement, and exchange of two bits of classical information
G17.1_2042591812_2	QCA	2.0	A quantum cellular automaton (QCA) is an abstract model of quantum computation, devised in analogy to conventional models of cellular automata. quantum cellular automaton refers to the merger of elements of both (1) the study of cellular automata in conventional computer science and (2) the study of quantum information processing
G17.4_2328341797_7	quantum correlation	1.0	Entanglement, or quantum correlation, is one of the central concepts in quantum information theory. Its theory can be roughly separated into three parts: qualitative, comparative, and quantitative.
G14.2_3000868545_1	encryption solutions	1.0	A data encryption solution is a software system that employs data encryption algorithms to protect sensitive data, combined with management tools for deploying and monitoring data encryption across an organization
T15.2_2012614298_5	plaintext	1.0	In cryptography, plaintext is usually ordinary readable text before it is encrypted into ciphertext, or readable text after it is decrypted.
T13.3_2551429935_7	majority class	1.0	the class with the highest number of samples in the dataset
T16.3_2230023062_1	dns cache poisoning	1.0	Domain Name Server (DNS) cache poisoning is an attack in which altered DNS records are used to redirect online traffic to a fraudulent website that resembles its intended destination.
G18.2_2554589817_6	differential privacy model	1.0	differential privacy is a privacy mechanism that ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis
T16.2_1760039095_3	three-party key exchange	1.0	Three-party authentication key exchange (3PAKE) is a protocol that allows two users to set up a common session key with the help of a trusted remote server, which is effective for secret communication between clients in a large-scale network environment
G07.2_1917985537_4	controversies	1.0	controversy is a disagreement, often a public one, that involves different ideas or opinions about something
T13.3_2166739810_4	generalization performance	1.0	The generalization performance of any learner is quantified by the difference between the training error and the test error. Good learners are those where the test error and the training error have close values.
T19.1_2761355172_2	qos routing	1.0	A routing mechanism that encompasses finding and selection of cost-effective paths for IP traffic flows that may assure the required QoS level relying on the information of network resource availability.
G07.2_1887815499_4	entropy value	1.0	Entropy is a measure of self information or uncertainty
G17.1_2962706423_4	memory addressing	1.0	A memory address is a unique identifier used by a device or CPU for data tracking. This binary address is defined by an ordered and finite sequence allowing the CPU to track the location of each memory byte.
G14.2_2722360008_5	user bases	1.0	user base for a product is the number of people who use product or service
G14.2_2178173146_9	user experience	1.0	user experience is recognized within the context of graphic interface and web design, as a way to measure the degree of impact on the end user.
T16.2_2144748689_4	Rabin cryptosystem	2.0	The Rabin cryptosystem is a family of public-key encryption schemes based on a trapdoor function whose security, like that of RSA, is related to the difficulty of integer factorization
G17.1_1999767563_3	p-type	2.0	A p-type semiconductor is a material that conducts, with positive holes being the majority charge carriers.
G17.4_2524344971_1	quantum entanglement	1.0	Quantum entanglement is a phenomenon in which the quantum states of two or more objects become correlated, meaning that the state of one object can affect the state of the other(s) even if the objects are separated by large distances.
G17.1_1985674454_4	Power-Delay Product	2.0	In digital electronics, the power–delay product (PDP) is a figure of merit correlated with the energy efficiency of a logic gate or logic family
G14.2_2088744588_2	geolocation	1.0	geolocation is the geographical location (both longitudinal and latitudinal) of an Internet-connect device, such as a cell phone or tablet
G14.2_2611788902_2	packet loss	1.0	packet loss is the total percentage of the packets of data that don’t make it to or from each party in the communication.
G07.2_170316166_2	chemtrails	1.0	chemtrails is a conspiracy theory which holds that airplanes deliberately release chemicals that stupefy the public
G14.2_3000868545_1	forwarding	1.0	Forwarding nodes broadcast encoded packets generated using either native packets received by the source or other encoded packets received by neighbor nodes.
G17.2_2012719958_1	pure states	2.0	A pure state is the quantum state where we have exact information about the quantum system.
G17.1_2094810688_2	interactive environments	1.0	It is any technology-based interface that reacts and responds to user input. An Interactive environment is the broad term used to categorize forms of computer-based media that instructs, communicates, and entertains as a result of user action.
T13.3_2052300809_5	naive bayes	2.0	Naive Bayes methods are a set of supervised learning algorithms based on applying Bayes' theorem with the “naive” assumption of conditional independence between every pair of features given the value of the class variable.
T16.2_2144748689_2	server impersonation	1.0	server impersonation is when a server can run protocols under the client's user account instead of the server account.
G17.2_2040411766_1	Dzyaloshinskii---Moriya (DM) interaction	2.0	antisymmetric exchange, also known as the Dzyaloshinskii–Moriya interaction (DMI), is a contribution to the total magnetic exchange interaction between two neighboring magnetic spins,
